Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,245,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap ic_people_black_24dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,236,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""ic_highlight_off_white_24dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,235,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap ic_highlight_off_white_24dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,226,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""ic_assignment_turned_in_white_36dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,225,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap ic_assignment_turned_in_white_36dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,216,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""ic_assignment_turned_in_black_36dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,215,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap ic_assignment_turned_in_black_36dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,206,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""folder_Closed_16xLG"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,205,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap folder_Closed_16xLG
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,196,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""folder_16x"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,195,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap folder_16x
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,186,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""filter"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,185,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap filter
